,Region,Year,Fertilizer Tonnes Applied
64,Canterbury,2022,362572.0
65,Canterbury,2023,363869.0
66,Hawke's Bay,2002,131701.0
67,Hawke's Bay,2003,147177.0
68,Hawke's Bay,2004,155602.0
69,Hawke's Bay,2005,157363.0
70,Hawke's Bay,2006,132040.0
71,Hawke's Bay,2007,138411.0
72,Hawke's Bay,2008,110748.0
73,Hawke's Bay,2009,84341.0
74,Hawke's Bay,2010,84012.0
75,Hawke's Bay,2011,97586.0
76,Hawke's Bay,2012,104378.0
77,Hawke's Bay,2013,99694.0
78,Hawke's Bay,2014,96133.0
79,Hawke's Bay,2015,116918.0
80,Hawke's Bay,2016,110417.0
81,Hawke's Bay,2017,89236.0
82,Hawke's Bay,2018,107073.0
83,Hawke's Bay,2019,115984.0
84,Hawke's Bay,2020,100182.0
85,Hawke's Bay,2021,87826.0
86,Hawke's Bay,2022,96374.0
87,Hawke's Bay,2023,63999.0
88,Marlborough,2002,22481.0
89,Marlborough,2003,20718.0
90,Marlborough,2004,19808.0
91,Marlborough,2005,22770.0
92,Marlborough,2006,17853.0
93,Marlborough,2007,19164.0
94,Marlborough,2008,16356.0
95,Marlborough,2009,11275.0
96,Marlborough,2010,12334.0
97,Marlborough,2011,16927.7
98,Marlborough,2012,15959.0
99,Marlborough,2013,14080.0
100,Marlborough,2014,19609.0
101,Marlborough,2015,15327.0
102,Marlborough,2016,15271.0
103,Marlborough,2017,15865.0
104,Marlborough,2018,18627.0
105,Marlborough,2019,17813.0
106,Marlborough,2020,18864.0
107,Marlborough,2021,11790.0
108,Marlborough,2022,12590.0
109,Marlborough,2023,16927.7
110,Manawatū-Whanganui,2002,273214.0
111,Manawatū-Whanganui,2003,295565.0
112,Manawatū-Whanganui,2004,265031.0
113,Manawatū-Whanganui,2005,313698.0
114,Manawatū-Whanganui,2006,277949.0
115,Manawatū-Whanganui,2007,246278.0
116,Manawatū-Whanganui,2008,236385.0
117,Manawatū-Whanganui,2009,140050.0
118,Manawatū-Whanganui,2010,166282.0
119,Manawatū-Whanganui,2011,215601.0
120,Manawatū-Whanganui,2012,232210.0
121,Manawatū-Whanganui,2013,193173.0
122,Manawatū-Whanganui,2014,218626.0
123,Manawatū-Whanganui,2015,228424.0
124,Manawatū-Whanganui,2016,219452.0
125,Manawatū-Whanganui,2017,202209.0
126,Manawatū-Whanganui,2018,221814.0
127,Manawatū-Whanganui,2019,231339.0
128,Manawatū-Whanganui,2020,230374.0
129,Manawatū-Whanganui,2021,196693.0
130,Manawatū-Whanganui,2022,203297.0
131,Manawatū-Whanganui,2023,134017.0
132,Southland,2002,243426.0
133,Southland,2003,271772.0
